"nm_id","query","is_own_brand","product_name"
"134111623","Трусы для девочки, набор 5 шт.","1","Трусы для девочки, набор 5 шт."
"134118631","Трусы для девочки подростковые набор из хлопка 5 штук черные","1","Трусы для девочки подростковые набор из хлопка 5 штук черные"
"139345207","Трусы для девочки подростковые набор 5 штук","1","Трусы для девочки подростковые набор 5 штук"
"187029454","трусы для девочек","1","Трусы для девочек"
"187029661","Трусы 7 шт комплект слипы набор турция","1","Трусы 7 шт комплект слипы набор турция"
"190459759","трусу женские хлопок","1","Трусы женские хлопок"
"197330807","Трусики набор 5 штук","1","Трусики набор 5 штук"
"214657940","подарок на день валентина","0","Подарок на день валентина (конкурент)"
"218749531","трусики для девочки набор","1","Трусики для девочки набор"
"219107635","трусики для девочки 12 лет","1","Трусики для девочки 12 лет"
"221311710","трусики для девочки","1","Трусики для девочки"
"222043180","трико для мальчика на физкультуру 128","1","Трико для мальчика на физкультуру 128"
"222850731","сюрприз бокс для мужчины","1","Сюрприз бокс для мужчины"
"238118606","бесшовные","0","Бесшовные (конкурент)"
"241179014","набор спортивных штанов для мальчика","0","Набор спортивных штанов для мальчика (конкурент)"
"243774196","подарок футболка черная","1","Подарок футболка черная"
"243774773","Подарок футболка розовая","1","Подарок футболка розовая"
"243905932","подарок мужчине","0","Подарок мужчине (конкурент)"
"243974046","подарок на день валентина парню","0","Подарок на день валентина парню (конкурент)"
"258067140","подарок мужу","0","Подарок мужу (конкурент)"
"267797508","Подарок женщине футболка","0","Подарок женщине футболка (конкурент)"
"27100340","трусы женские с рисунком набор хлопок","1","Трусы женские с рисунком набор хлопок"
"279076561","подарок футболка девочке","1","Подарок футболка девочке"
"279085455","подарок футболка белая","1","Подарок футболка белая"
"279101652","подарок прикол мужчине","1","Подарок прикол мужчине"
"279678612","подарок на день валентина парню","1","Подарок на день валентина парню"
"279857790","подарок на день валентина мужчине","1","Подарок на день валентина мужчине"
"28835923","трусы женские с принтом","1","Трусы женские с принтом"
"300841607","подарок на день валентина","1","Подарок на день валентина"
"30366126","трусы женские неделька","1","Трусы женские неделька"
"311048929","подарок мужчине","1","Подарок мужчине"
"311071100","подарок мужу","1","Подарок мужу"
"311092550","Подарок женщине футболка","1","Подарок женщине футболка"
"320893265","подарок другу прикол","1","Подарок другу прикол"
"321317824","белая футболка мужская оверсайз","0","Белая футболка мужская оверсайз (конкурент)"
"326369942","набор футболок мужских плотных","1","Набор футболок мужских плотных"
"335760311","набор трусов женские хлопок","1","Набор трусов женские хлопок"
"335769055","набор спортивных штанов для мальчика","1","Набор спортивных штанов для мальчика"
"36387055","трусы женские набор слипы","1","Трусы женские набор слипы"
"368225219","мужской набор","1","Мужской набор"
"37320545","трусы женские набор с рисунком","1","Трусы женские набор с рисунком"
"37342770","трусы женские набор","1","Трусы женские набор"
"37342770","трусы женские набор с принтом","1","Трусы женские набор с принтом"
"386978954","Крутая футболка деская","1","Крутая футболка деская"
"411621524","белая футболка мужская плотная набор","0","Белая футболка мужская плотная набор (конкурент)"
"419142161","подарок футболка девочке","0","Подарок футболка девочке (конкурент)"
"420705265","большой презерватив прикол подарок с трусами","0","Большой презерватив прикол подарок с трусами (конкурент)"
"43556939","трусы женские красивые хлопок","1","Трусы женские красивые хлопок"
"436969577","подарок на день валентина мужчине","0","Подарок на день валентина мужчине (конкурент)"
"443604472","набор трусов женские хлопок","0","Набор трусов женские хлопок (конкурент)"
"443604473","Крутая футболка деская","0","Крутая футболка деская (конкурент)"
"447154203","Подарок футболка розовая","0","Подарок футболка розовая (конкурент)"
"481288547","подарок прикол мужчине","0","Подарок прикол мужчине (конкурент)"
"490312436","мужской набор","0","Мужской набор (конкурент)"
"51539846","подарок другу прикол","0","Подарок другу прикол (конкурент)"
"531503440","подарок футболка черная","0","Подарок футболка черная (конкурент)"
"534693119","набор футболок мужских плотных","0","Набор футболок мужских плотных (конкурент)"
"548069739","Трусики набор 5 штук","0","Трусики набор 5 штук (конкурент)"
"577510563","гипоаллергенные трусы женские","1","Гипоаллергенные трусы женские"
"593190228","большой презерватив прикол подарок с трусами","1","Большой презерватив прикол подарок с трусами"
"601507351","подарок футболка белая","0","Подарок футболка белая (конкурент)"
"699146381","трусики для девочки набор","0","Трусики для девочки набор (конкурент)"
"720881175","бесшовные","1","Бесшовные"
"760334249","белая футболка мужская плотная набор","1","Белая футболка мужская плотная набор"
"786802644","трико для мальчика на физкультуру 128","0","Трико для мальчика на физкультуру 128 (конкурент)"
"786813871","трусики для девочки 12 лет","0","Трусики для девочки 12 лет (конкурент)"
"786822253","трусики для девочки","0","Трусики для девочки (конкурент)"
"817019624","сюрприз бокс для мужчины","0","Сюрприз бокс для мужчины (конкурент)"
"898169514","белая футболка мужская оверсайз","1","Белая футболка мужская оверсайз"
"91470767","трусы женские","1","Трусы женские"
"91744473","трусы для подростка девочки черные","1","Трусы для подростка девочки черные"
